gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1409515200000.0,G02,gps,2,-16946965.277,-3160271.278,20763073.429,44.59489724690486,306.6005598747844
1409515200000.0,G03,gps,3,-20571772.606,9520604.196,13583054.682,9.815426558762791,291.91082433955137
1409515200000.0,G08,gps,8,-25835068.762,-6493356.538,-3020425.1599999997,17.02233093334147,232.57097002834968
1409515200000.0,G10,gps,10,7110525.866,-21611197.659,13629909.401,37.254877240969556,83.37133518258199
1409515200000.0,G21,gps,21,-17956989.072,-9813602.050999999,17881385.516,60.635432688135346,288.6473235529031
1409515200000.0,G23,gps,23,16227044.956,-20829722.669999998,1384406.85,3.633839338414929,99.90124824060726
1409515200000.0,G25,gps,25,19799316.268,-16133698.732,6439062.251999999,0.00905060876233505,82.69164862218624
1409515200000.0,G27,gps,27,-19801939.264000002,-12958973.995000001,-12766409.524999999,6.7078224820975665,203.00835059752916
1409515200000.0,G28,gps,28,-3797052.076,-25207918.741,7441062.513,51.79956021626651,128.93858592008368
1409515200000.0,G31,gps,31,-10868475.6,-23567938.754,-4806160.892,29.479174906542166,170.1792922568098
1409515200000.0,G32,gps,32,178287.074,-15446279.273,21834963.63,53.66095544345207,41.48743428949676
