gnss_id,sv_id,el_sv_deg,az_sv_deg
gps,2,34.9647195014363,133.931217945535
gps,5,34.4093049043373,137.236935789191
gps,11,34.554530818282,133.147656381119
gps,13,35.0091774829231,136.006626476336
gps,15,36.801316123612,136.158296478543
gps,20,33.242917427541,135.322628588345
gps,29,37.3755630170766,137.378191340644
